,No.,Ticker,Company,Sector,Industry,Country,Exchange,Market Cap,P/E,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Volume,Price,Change
0,1,ARQT,Arcutis Biotherapeutics Inc,Healthcare,Biotechnology,USA,NASD,2.23B,-,7.17%,20.21%,32.81%,18.37%,104.62%,"4,251,865",18.62,5.98%
1,2,ARWR,Arrowhead Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,4.67B,-,5.40%,51.21%,113.80%,144.43%,73.94%,"1,792,059",33.78,2.99%
2,3,AUGO,Aura Minerals Inc,Basic Materials,Gold,USA,NASD,3.07B,-,8.23%,30.93%,38.02%,132.13%,377.05%,"522,562",37.21,7.39%
3,4,CDTX,Cidara Therapeutics Inc,Healthcare,Biotechnology,USA,NASD,2.42B,-,26.22%,46.04%,95.57%,325.46%,780.41%,"2,047,704",95.26,5.27%
4,5,CENX,Century Aluminum Co,Basic Materials,Aluminum,USA,NASD,2.74B,26.44,7.48%,31.34%,63.12%,58.38%,96.23%,"4,086,580",29.40,5.02%
5,6,CNTA,Centessa Pharmaceuticals plc ADR,Healthcare,Biotechnology,United Kingdom,NASD,3.27B,-,4.36%,47.34%,85.69%,67.24%,59.06%,"1,128,465",24.40,4.90%
6,7,COCO,Vita Coco Company Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA,NASD,2.43B,39.66,4.46%,21.51%,18.61%,43.45%,48.47%,"1,510,182",42.82,7.17%
7,8,CVCO,Cavco Industries Inc,Consumer Cyclical,Residential Construction,USA,NASD,4.64B,25.39,4.45%,10.42%,34.80%,13.94%,38.77%,"224,566",585.63,2.30%
8,9,EOSE,Eos Energy Enterprises Inc,Industrials,Electrical Equipment & Parts,USA,NASD,3.12B,-,9.08%,56.66%,118.16%,183.50%,350.40%,"23,838,380",11.17,10.38%
9,10,ETSY,Etsy Inc,Consumer Cyclical,Internet Retail,USA,NASD,7.37B,59.45,20.54%,38.00%,48.21%,59.22%,36.10%,"25,784,290",74.34,15.83%
10,11,EYE,National Vision Holdings Inc,Consumer Cyclical,Specialty Retail,USA,NASD,2.32B,-,9.92%,24.96%,27.08%,128.08%,175.85%,"3,762,916",29.24,2.45%
11,12,GLPG,Galapagos NV ADR,Healthcare,Biotechnology,Belgium,NASD,2.27B,-,2.20%,6.23%,23.01%,35.23%,20.64%,"309,591",34.43,1.92%
12,13,IESC,IES Holdings Inc,Industrials,Engineering & Construction,USA,NASD,7.76B,31.76,0.29%,7.88%,31.95%,134.53%,105.85%,"153,395",390.89,-0.50%
13,14,KNSA,Kiniksa Pharmaceuticals International Plc,Healthcare,Drug Manufacturers - Specialty & Generic,United Kingdom,NASD,2.87B,943.31,7.46%,15.73%,40.12%,67.91%,60.87%,"957,970",38.77,6.25%
14,15,KYMR,Kymera Therapeutics Inc,Healthcare,Biotechnology,USA,NASD,4.18B,-,14.68%,40.12%,34.05%,97.50%,12.65%,"1,101,319",58.50,4.00%
15,16,LAUR,Laureate Education Inc,Consumer Defensive,Education & Training Services,USA,NASD,4.65B,18.62,2.67%,14.59%,35.03%,54.38%,90.87%,"1,722,472",31.57,2.04%
16,17,LGND,"Ligand Pharmaceuticals, Inc",Healthcare,Biotechnology,USA,NASD,3.39B,-,1.38%,8.23%,52.30%,60.87%,75.27%,"217,094",173.13,2.01%
17,18,LIF,Life360 Inc,Technology,Software - Application,USA,NASD,8.20B,319.23,3.54%,15.79%,62.04%,173.70%,170.76%,"879,614",105.73,1.17%
